alert_no,timestamp,alert_type,severity,affected_service,location,ticket_id,acknowledged,resolved
66,2025-01-21T05:55:57.823037,Database Connection Issues,Medium,Logging Service,Berlin,INC637399,False,True
67,2025-02-10T22:41:35.771837,Authentication Failures,Medium,User Authentication,Chicago,INC801895,False,True
68,2025-02-15T06:12:29.174884,Increased Error Rate,Low,User Authentication,Detroit,INC203313,True,False
69,2025-02-19T06:46:03.249415,Authentication Failures,Medium,Database Cluster,Paris,INC769480,True,True
70,2025-04-02T18:06:53.450670,Database Connection Issues,Medium,User Authentication,London,INC379805,False,True
71,2025-02-24T05:30:51.162919,Increased Error Rate,Low,Database Cluster,Chicago,INC283834,True,False
72,2025-02-08T14:53:50.360155,Failed Login Attempts,Medium,Database Cluster,Paris,INC336835,True,False
73,2025-02-01T03:05:36.139854,Authentication Failures,Critical,Database Cluster,London,INC184619,True,False
74,2025-03-08T17:04:03.601711,Service Unavailable,High,Database Cluster,Paris,INC339585,False,False
75,2025-03-10T10:36:46.881194,Unexpected Shutdown,Medium,Chat Interface,Detroit,INC306950,False,True
76,2025-03-20T04:12:44.449723,Authentication Failures,Critical,User Authentication,New York,INC282409,True,True
77,2025-01-08T14:08:06.587069,CPU Utilization Spike,Medium,User Authentication,Paris,INC823111,False,False
78,2025-03-18T13:33:35.372766,Database Connection Issues,Low,User Authentication,Berlin,INC355173,True,True
79,2025-02-19T17:50:57.653054,Increased Error Rate,High,Chat Interface,Berlin,INC216878,True,False
80,2025-02-17T01:20:13.249496,High Latency Detected,Low,Database Cluster,London,INC301612,False,True
81,2025-02-11T00:08:35.378758,Authentication Failures,Low,Logging Service,Chicago,INC481048,True,True
82,2025-01-04T15:42:45.890617,Authentication Failures,Critical,Chat Interface,Berlin,INC802566,True,False
83,2025-03-28T21:44:44.307505,Memory Usage High,Low,Chat Interface,Paris,INC750668,False,False
84,2025-03-24T01:24:12.861295,Unexpected Shutdown,Medium,Chat Interface,Paris,INC928487,False,False
85,2025-02-13T02:31:08.679770,Memory Usage High,High,Chat Interface,Paris,INC544239,False,True
86,2025-02-06T22:25:19.581155,Memory Usage High,Critical,User Authentication,Detroit,INC788183,False,False
87,2025-02-11T12:26:37.687424,Failed Login Attempts,Low,User Authentication,Detroit,INC125062,False,True
88,2025-02-17T09:13:59.904979,Increased Error Rate,Critical,Database Cluster,London,INC782855,False,False
89,2025-02-21T23:56:29.724431,Log Ingestion Delays,Medium,User Authentication,Chicago,INC801668,True,False
90,2025-01-04T05:16:23.466782,Failed Login Attempts,Medium,User Authentication,Paris,INC769379,False,True
91,2025-03-02T15:33:55.054398,Disk Space Low,Critical,Chat Interface,London,INC599300,True,False
92,2025-01-27T14:38:14.422638,Configuration Drift Detected,High,Database Cluster,Detroit,INC898924,True,False
93,2025-02-11T08:53:00.296249,Configuration Drift Detected,High,User Authentication,New York,INC719911,False,False
94,2025-03-13T17:28:49.485759,Failed Login Attempts,Medium,Database Cluster,London,INC652260,True,True
95,2025-01-07T21:39:18.618654,Failed Login Attempts,Critical,User Authentication,Chicago,INC531981,False,True
96,2025-02-10T15:47:27.066822,Service Unavailable,Medium,Logging Service,New York,INC548842,True,False
97,2025-02-07T04:59:10.785164,Memory Usage High,Critical,User Authentication,Berlin,INC234684,True,False
98,2025-02-09T09:34:03.555299,Log Ingestion Delays,Medium,User Authentication,Chicago,INC293827,False,False
99,2025-01-25T15:22:01.590917,Database Connection Issues,Low,Logging Service,Berlin,INC728098,True,True
