First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Tucker,Dordevic,M,2,Whipsnakes,4,10,10,7,4,3,0,25,0.28,14,0.56,6,0.5,5,0.8333333333333334,4,0,4,80,51,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,2
Cam,Wyers,D,20,Archers,10,1,0,0,0,0,1,4,0,1,0.25,2,0,0,0,1,6,20,39,34,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,0,0,0,0
Tom,Schreiber,M,26,Archers,9,27,12,11,10,1,15,50,0.22,28,0.56,13,0.07692307692307693,5,0.38461538461538464,15,2,9,257,192,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,7,4
Brad,Smith,M,27,Whipsnakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,Ament,M,16,Archers,10,28,15,15,15,0,13,45,0.3333333333333333,27,0.6,1,0,1,1,18,0,9,285,222,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,0,0,14,1
Reid,Bowering,M,98,Atlas,3,3,2,2,2,0,1,8,0.25,4,0.5,0,0,0,0,3,0,7,24,13,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,2
Connor,Shellenberger,A,1,Atlas,8,26,15,15,15,0,11,35,0.42857142857142855,24,0.6857142857142857,1,0,0,0,8,1,18,272,229,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,6,9
Nick,Rowlett,FO,73,Chaos,9,2,1,1,1,0,1,11,0.09090909090909091,6,0.5454545454545454,0,0,0,0,8,2,51,51,32,0.3671497584541063,76,129,207,0,0,0,0,0,2,1,0,0,0,0,0,1,0
Michael,Manley,D,5,Outlaws,10,1,0,0,0,0,1,6,0,2,0.3333333333333333,4,0,2,0.5,4,11,21,73,63,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Cade,van Raaphorst,D,77,Cannons,10,1,0,0,0,0,1,18,0,3,0.16666666666666666,18,0,3,0.16666666666666666,6,5,24,92,68,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ethan,Rall,LSM,35,Cannons,10,2,1,1,1,0,1,6,0.16666666666666666,4,0.6666666666666666,1,0,1,1,3,12,29,49,40,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Asher,Nolting,A,32,Cannons,10,39,11,11,11,0,28,41,0.2682926829268293,26,0.6341463414634146,1,0,1,1,30,2,14,316,245,0,0,1,1,0,0,0,0,0,3,2.5,0,1,0,0,0,10,1
Ryan,Ambler,M,13,Archers,10,13,8,8,8,0,5,29,0.27586206896551724,18,0.6206896551724138,0,0,0,0,16,0,5,156,111,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,4
Jake,Bernhardt,SSDM,83,Whipsnakes,9,2,1,1,1,0,1,5,0.2,2,0.4,2,0,0,0,4,1,6,55,46,0.1,1,9,10,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1
Matt,Moore,A,11,Archers,7,10,6,5,4,1,4,29,0.1724137931034483,13,0.4482758620689655,4,0.25,3,0.75,9,0,9,165,127,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1
Jesse,Bernhardt,D,36,Outlaws,6,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,8,50,49,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,0,0,0
Jack,Kielty,D,40,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,Wisnauskas,A,12,Outlaws,1,4,3,3,3,0,1,7,0.42857142857142855,6,0.8571428571428571,0,0,0,0,2,0,5,39,30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1
Greg,Weyl,D,57,Outlaws,3,1,1,1,1,0,0,3,0.3333333333333333,1,0.3333333333333333,0,0,0,0,0,5,7,22,19,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1
Jonathan,Donville,M,33,Cannons,1,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,4,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon,Ward,G,37,Waterdogs,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,21,102,99,0,0,0,0,12.495837747843197,81,0.515923566878981,86,10,0,0,0,0,2,0,0,0,0
Jack,Kelly,G,94,Redwoods,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4,16,148,144,0,0,0,0,13.517601043024772,119,0.504237288135593,126,9,0,0,0,0,8,0,0,0,0
Wes,Berg,A,14,Redwoods,10,15,14,14,14,0,1,28,0.5,20,0.7142857142857143,0,0,0,0,10,2,6,128,90,0,0,0,0,0,0,0,0,0,3,2,1,3,0,0,0,0,14
Matt,Whitcher,SSDM,33,Waterdogs,9,2,2,2,2,0,0,11,0.18181818181818182,5,0.45454545454545453,1,0,0,0,7,5,11,60,42,0,0,18,18,0,0,0,0,0,2,1,0,0,0,0,0,1,1
Colin,Squires,LSM,39,Whipsnakes,10,2,1,1,1,0,1,4,0.25,1,0.25,2,0,0,0,1,5,39,55,50,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Roman,Puglise,SSDM,8,Whipsnakes,10,6,5,4,3,1,1,7,0.5714285714285714,5,0.7142857142857143,1,1,1,1,6,2,12,91,78,0,0,1,1,0,0,0,0,0,2,2.5,0,0,0,0,0,2,2
Zed,Williams,A,36,Whipsnakes,10,31,28,27,26,1,3,78,0.34615384615384615,49,0.6282051282051282,6,0.16666666666666666,2,0.3333333333333333,12,1,14,208,118,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,12,15
Alex,Mazzone,LSM,6,Whipsnakes,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,13,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter,Page,A,62,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob,Morin,M,90,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy,Hettinger,LSM,9,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam,Byrnes,D,21,Waterdogs,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,6,5,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan,Gergar,M,40,Outlaws,2,2,2,2,2,0,0,12,0.16666666666666666,6,0.5,2,0,1,0.5,1,1,3,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Owen,Grant,LSM,81,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Lee,A,45,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny,Brower,D,29,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross,Ferrara,M,22,Outlaws,10,11,8,7,6,1,3,36,0.19444444444444445,21,0.5833333333333334,4,0.25,2,0.5,4,0,4,138,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3
Zach,Cole,FO,10,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ,Mercurio,D,13,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Higgins,SSDM,41,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Terefenko,SSDM,34,Outlaws,10,8,6,5,4,1,2,8,0.625,7,0.875,1,1,1,1,7,1,16,120,105,0,0,5,5,0,0,0,0,0,6,3,0,0,0,0,0,1,4
Justin,Anderson,M,21,Outlaws,10,19,13,12,11,1,6,37,0.32432432432432434,22,0.5945945945945946,1,1,1,1,11,5,21,187,139,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,7,5
Jarrod,Neumann,D,88,Chaos,10,0,0,0,0,0,0,4,0,2,0.5,4,0,2,0.5,1,5,16,43,38,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Josh,Byrne,A,22,Chaos,9,29,11,11,11,0,18,50,0.22,28,0.56,1,0,0,0,17,2,13,288,221,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,7,4
Mark,Glicini,SSDM,16,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Law,A,15,Outlaws,6,13,11,11,11,0,2,25,0.44,20,0.8,0,0,0,0,12,0,7,161,124,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,10
Adam,Ghitelman,G,8,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob,Pannell,A,3,Redwoods,10,30,15,15,15,0,15,74,0.20270270270270271,40,0.5405405405405406,0,0,0,0,25,2,21,417,318,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11,4
Blaze,Riorden,G,0,Chaos,8,3,1,1,1,0,2,2,0.5,1,0.5,1,0,0,0,3,4,13,109,104,0,0,0,0,9.795413553207936,92,0.593548387096774,66,3,0,0,0,0,6,0,0,1,0
Matt,Rambo,A,9,Whipsnakes,9,18,12,12,12,0,6,41,0.2926829268292683,26,0.6341463414634146,0,0,0,0,17,1,8,212,154,0,0,0,0,0,0,0,0,0,1,0.5,1,3,0,0,0,9,3
Isaiah,Davis-Allen,SSDM,26,Redwoods,5,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3,4,16,15,0.3,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus,Holman,A,1,Cannons,10,32,28,25,22,3,4,77,0.3246753246753247,53,0.6883116883116883,12,0.25,9,0.75,17,2,24,381,287,0,0,0,0,0,0,0,0,0,2,1,3,7,0,0,0,6,19
Zach,Goodrich,SSDM,14,Cannons,10,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,5,6,33,30,0.10526315789473684,2,16,19,0,0,0,0,0,3,1.5,0,0,0,0,0,0,0
Connor,Fields,A,5,Archers,10,32,25,25,25,0,7,71,0.352112676056338,49,0.6901408450704225,2,0,1,0.5,20,1,12,279,188,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,15,10
Mike,Chanenchuk,M,1,Whipsnakes,10,13,10,7,4,3,3,46,0.15217391304347827,28,0.6086956521739131,12,0.25,6,0.5,12,2,11,244,186,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4
Ian,MacKay,SSDM,55,Chaos,9,7,6,6,6,0,1,19,0.3157894736842105,12,0.631578947368421,3,0,2,0.6666666666666666,4,0,9,85,62,0,0,6,6,0,0,0,0,0,5,5,0,0,0,0,0,0,6
Patrick,Resch,SSDM,34,Chaos,10,2,1,1,1,0,1,3,0.3333333333333333,2,0.6666666666666666,0,0,0,0,4,4,14,82,75,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Kyle,Jackson,M,1,Chaos,10,11,9,9,9,0,2,32,0.28125,19,0.59375,3,0,0,0,9,0,8,147,106,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,4,5
Austin,Kaut,G,14,Chaos,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,53,50,0,0,0,0,13.078749096914027,46,0.534883720930232,44,4,0,0,0,0,3,0,0,0,0
Troy,Reh,LSM,10,Chaos,10,0,0,0,0,0,0,4,0,3,0.75,3,0,2,0.6666666666666666,2,10,19,61,55,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0
Ryan,Tierney,M,13,Redwoods,4,1,0,0,0,0,1,5,0,1,0.2,0,0,0,0,5,1,1,59,49,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sergio,Perkovic,M,30,Chaos,6,7,7,5,3,2,0,17,0.29411764705882354,11,0.6470588235294118,10,0.2,6,0.6,4,1,2,95,74,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,3
Romar,Dennis,M,5,Redwoods,9,15,15,8,1,7,0,41,0.1951219512195122,20,0.4878048780487805,25,0.28,15,0.6,8,4,5,163,114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3
Matt,DeLuca,G,1,Waterdogs,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,51,49,0,0,0,0,11.450676982591876,47,0.566265060240964,37,1,0,0,0,0,3,0,0,0,0
CJ,Costabile,LSM,9,Chaos,5,0,0,0,0,0,0,5,0,2,0.4,4,0,1,0.25,2,5,12,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Conrad,M,23,Whipsnakes,8,10,8,8,8,0,2,43,0.18604651162790697,24,0.5581395348837209,3,0,0,0,11,0,11,155,101,0,0,1,1,0,0,0,0,0,1,0.5,1,2,0,0,0,4,4
Eli,Salama,LSM,13,Outlaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will,Haus,SSDM,18,Outlaws,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,6,46,44,0,0,2,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0
Mac,O'Keefe,A,7,Archers,10,24,21,20,19,1,3,75,0.26666666666666666,44,0.5866666666666667,14,0.07142857142857142,6,0.42857142857142855,16,2,13,251,160,0,0,0,0,0,0,0,0,0,4,2.5,2,10,0,0,0,9,11
Graeme,Hossack,D,81,Archers,7,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,6,20,43,37,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Ethan,Walker,A,57,Waterdogs,10,10,5,5,5,0,5,29,0.1724137931034483,19,0.6551724137931034,0,0,0,0,9,2,11,262,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Sean,Sconone,G,31,Outlaws,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,12,0,0,0,0,13.6,8,0.347826086956522,17,2,0,0,0,0,1,0,0,0,0
Myles,Jones,M,8,Atlas,10,18,12,10,8,2,6,36,0.2777777777777778,24,0.6666666666666666,4,0.5,4,1,17,0,13,174,121,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2
Eli,Gobrecht,D,25,Waterdogs,10,0,0,0,0,0,0,2,0,2,1,1,0,1,1,2,8,20,59,55,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Michael,Rexrode,D,22,Atlas,10,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,12,9,45,41,0,0,1,1,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Will,Manny,A,0,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,Morrill,A,4,Archers,6,14,4,4,4,0,10,12,0.3333333333333333,12,1,0,0,0,0,8,0,6,78,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
Holden,Garlent,D,70,Redwoods,7,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,2,8,25,22,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Garrett,Epple,D,52,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,20,93,89,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0
Tim,Muller,D,14,Whipsnakes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor,Baptiste,FO,9,Atlas,10,6,5,5,5,0,1,13,0.38461538461538464,9,0.6923076923076923,1,0,1,1,9,0,109,133,111,0.6615969581749049,174,88,263,0,0,0,0,0,5,2.5,0,0,0,0,0,3,2
Dox,Aitken,M,6,Atlas,10,16,15,15,15,0,1,49,0.30612244897959184,32,0.6530612244897959,6,0,3,0.5,13,0,16,249,187,0,0,1,1,0,0,0,0,0,3,2,0,1,0,0,0,11,4
Craig,Chick,LSM,13,Cannons,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Richard,SSDM,10,Waterdogs,9,2,0,0,0,0,2,3,0,3,1,0,0,0,0,1,3,8,55,51,0,0,13,14,0,0,0,0,0,4,2,0,0,0,0,0,0,0
Colin,Heacock,M,10,Whipsnakes,9,9,8,8,8,0,1,23,0.34782608695652173,18,0.782608695652174,1,0,0,0,7,0,7,116,86,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,2,6
Danny,Logan,SSDM,91,Atlas,10,2,2,2,2,0,0,8,0.25,5,0.625,2,0,1,0.5,0,3,9,73,65,0.07692307692307693,2,24,26,0,0,0,0,0,4,2.5,0,0,0,0,0,0,2
Ryan,Drenner,M,22,Cannons,10,15,12,10,8,2,3,32,0.3125,19,0.59375,4,0.5,2,0.5,4,1,7,224,188,0,0,0,0,0,0,0,0,0,1,0.5,0,3,0,0,0,4,6
Charlie,Bertrand,M,41,Redwoods,10,17,15,14,13,1,2,52,0.2692307692307692,36,0.6923076923076923,2,0.5,2,1,9,0,5,225,164,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,7,7
Ryder,Garnsey,A,50,Redwoods,10,26,14,13,12,1,12,59,0.22033898305084745,30,0.5084745762711864,4,0.25,1,0.25,23,2,12,339,257,0,0,0,0,0,0,0,0,0,1,1,3,10,0,0,0,5,8
Christian,Scarpello,SSDM,50,Waterdogs,9,1,1,1,1,0,0,3,0.3333333333333333,2,0.6666666666666666,2,0,1,0.5,3,4,12,66,60,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mikie,Schlosser,M,59,Waterdogs,3,2,2,2,2,0,0,4,0.5,3,0.75,0,0,0,0,2,0,0,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Connor,Kelly,M,40,Waterdogs,9,15,12,11,10,1,3,56,0.19642857142857142,36,0.6428571428571429,18,0.05555555555555555,8,0.4444444444444444,6,0,6,203,141,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,3,8
Bryan,Costabile,M,26,Atlas,9,19,11,11,11,0,8,47,0.23404255319148937,28,0.5957446808510638,11,0,3,0.2727272727272727,11,2,12,228,170,0,0,0,0,0,0,0,0,0,1,0.5,0,2,0,0,0,8,3
Bryce,Young,D,41,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,59,56,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Jeff,Teat,A,7,Atlas,10,64,28,28,28,0,36,79,0.35443037974683544,53,0.6708860759493671,0,0,0,0,24,1,26,413,310,0,0,0,0,0,0,0,0,0,1,0.5,4,8,0,0,0,14,14
Chris,Sabia,LSM,16,Waterdogs,6,0,0,0,0,0,0,3,0,2,0.6666666666666666,1,0,1,1,1,5,11,24,20,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Tre,Leclaire,M,44,Archers,10,23,23,21,19,2,0,42,0.5,28,0.6666666666666666,6,0.3333333333333333,3,0.5,8,0,8,169,119,0,0,0,0,0,0,0,0,0,4,3,2,2,0,0,0,8,13
Jared,Conners,LSM,28,Redwoods,10,3,2,2,2,0,1,7,0.2857142857142857,3,0.42857142857142855,4,0,1,0.25,8,4,33,77,62,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
Kieran,McArdle,A,6,Waterdogs,10,34,22,22,22,0,12,78,0.28205128205128205,48,0.6153846153846154,2,0,2,1,22,3,12,333,233,0,0,0,0,0,0,0,0,0,2,2,2,5,0,0,0,3,19
Alexander,Smith,SSDM,39,Outlaws,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,23,21,0,0,1,1,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Warren,Jeffrey,D,27,Archers,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,15,45,43,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Matthew,Dunn,D,33,Whipsnakes,10,4,2,2,2,0,2,5,0.4,4,0.8,2,0,1,0.5,2,11,13,67,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Kyle,Bernlohr,G,35,Whipsnakes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,22.5,1,0.111111111111111,8,0,0,0,0,0,0,0,0,0,0
Joseph,Nardella,FO,91,Whipsnakes,9,5,5,5,5,0,0,8,0.625,7,0.875,0,0,0,0,11,0,93,117,98,0.6748971193415638,164,76,243,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Michael,Sowers,A,22,Waterdogs,10,37,18,18,18,0,19,62,0.2903225806451613,46,0.7419354838709677,5,0,3,0.6,17,0,8,344,265,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,12,6
Connor,Kirst,M,34,Cannons,10,15,13,12,11,1,2,31,0.3870967741935484,22,0.7096774193548387,3,0.3333333333333333,2,0.6666666666666666,6,1,16,131,94,0.21052631578947367,4,15,19,0,0,0,0,0,0,0,1,2,0,0,0,5,7
Chris,Aslanian,M,3,Cannons,8,11,10,8,6,2,1,33,0.24242424242424243,20,0.6060606060606061,9,0.2222222222222222,5,0.5555555555555556,5,1,0,169,131,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4
Jake,Pulver,D,12,Cannons,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff,Trainor,SSDM,43,Cannons,10,10,6,5,4,1,4,11,0.45454545454545453,7,0.6363636363636364,4,0.25,2,0.5,5,6,14,91,75,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,4
Jules,Heningburg,A,8,Chaos,9,15,10,10,10,0,5,31,0.3225806451612903,24,0.7741935483870968,1,0,0,0,13,0,6,230,186,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,6,4
TD,Ierlan,FO,6,Redwoods,10,4,4,4,4,0,0,13,0.3076923076923077,8,0.6153846153846154,1,0,0,0,2,2,81,88,73,0.6008403361344538,143,94,238,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Matt,Kavanagh,A,50,Cannons,6,9,6,5,4,1,3,29,0.1724137931034483,14,0.4827586206896552,2,0.5,2,1,9,2,7,141,103,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,3,2
Tim,Troutner,G,42,Atlas,5,0,0,0,0,0,0,2,0,1,0.5,2,0,1,0.5,2,3,13,86,82,0,0,0,0,13.803921568627452,61,0.508333333333333,66,7,0,0,0,0,5,0,0,0,0
Brian,Minicus,M,7,Chaos,10,10,6,6,6,0,4,30,0.2,15,0.5,1,0,0,0,12,0,10,147,105,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1
